 strain  mother    diet liverwgt;
     S1        1     D1     3.44
     S1        1     D1     3.48
     S1        1     D2     3.38
     S1        1     D2     3.19
     S1        1     D3     3.56
     S1        1     D3     3.73
     S1        2     D1      3.5
     S1        2     D1     3.58
     S1        2     D2     3.55
     S1        2     D2     3.69
     S1        2     D3     4.08
     S1        2     D3     3.87
     S2        1     D1      2.3
     S2        1     D1     2.46
     S2        1     D2     2.32
     S2        1     D2     2.28
     S2        1     D3     2.61
     S2        1     D3     2.66
     S2        2     D1     3.02
     S2        2     D1     3.23
     S2        2     D2     2.75
     S2        2     D2     2.83
     S2        2     D3     3.06
     S2        2     D3     3.32
     S3        1     D1     3.18
     S3        1     D1     3.16
     S3        1     D2     3.11
     S3        1     D2        3
     S3        1     D3     3.24
     S3        1     D3     3.24
     S3        2     D1     3.17
     S3        2     D1      3.2
     S3        2     D2     3.02
     S3        2     D2     2.76
     S3        2     D3     3.16
     S3        2     D3     3.29
     S4        1     D1     2.69
     S4        1     D1     2.91
     S4        1     D2     2.37
     S4        1     D2     2.31
     S4        1     D3     2.84
     S4        1     D3     2.66
     S4        2     D1      2.7
     S4        2     D1     2.44
     S4        2     D2     2.28
     S4        2     D2     2.31
     S4        2     D3     2.72
     S4        2     D3      2.7
