lime rate pH
AL 0 5.735
AL 0 5.770
AL 0 5.730
AL 0 5.735
AL 0 5.750
AL 1 5.845
AL 1 5.880
AL 1 5.865
AL 1 5.875
AL 1 5.865
AL 2 5.980
AL 2 5.965
AL 2 5.975
AL 2 5.975
AL 2 6.075
AL 4 6.180
AL 4 6.060
AL 4 6.135
AL 4 6.205
AL 4 6.095
AL 8 6.415
AL 8 6.475
AL 8 6.495
AL 8 6.455
AL 8 6.410
GL 0 5.660
GL 0 5.770
GL 0 5.760
GL 0 5.720
GL 0 5.700
GL 1 5.925
GL 1 5.740
GL 1 5.785
GL 1 5.725
GL 1 5.765
GL 2 5.800
GL 2 5.760
GL 2 5.805
GL 2 5.805
GL 2 5.670
GL 4 6.005
GL 4 5.940
GL 4 5.865
GL 4 5.910
GL 4 5.850
GL 8 6.060
GL 8 5.985
GL 8 5.910
GL 8 5.845
GL 8 6.065
