Prey PredNr PredLgt PreyLgt RelPreyLgt HandTime
Garra         1    25.1 5.18818      20.67003984     714
Garra         1    25.1 3.79408      15.11585657     206
Garra         1    25.1 4.25878        16.967251     177
Garra         1    25.1  4.0729      16.22669323     244
Garra         1    25.1 5.18818      20.67003984    1104
Garra         1    25.1     2.1      8.366533865      10
Garra         1    25.1     1.8      7.171314741       4
Garra         1    25.1    1.85      7.370517928       5
Garra         1    25.1     4.2      16.73306773     282
Garra         2    25.4 3.79408      14.93732283      96
Garra         2    25.4     2.3       9.05511811      11
Garra         2    25.4     2.2      8.661417323       8
Garra         2    25.4     1.8      7.086614173       7
Garra         2    25.4     4.5      17.71653543     315
Garra         2    25.4    4.19      16.49606299     243
Garra         2    25.4    6.65      26.18110236    6772
Garra         3   26.09    2.45        9.3905711       8
Garra         3   26.09     1.7      6.515906478       6
Garra         4    23.9 3.97996       16.6525523     192
Garra         4    23.9     2.1      8.786610879       5
Garra         4    23.9    3.61      15.10460251      87
Garra         4    23.9    4.39      18.36820084     497
Garra         5    25.2     2.9      11.50793651      10
Garra         5    25.2       3       11.9047619       3
Garra         5    25.2    4.65      18.45238095     327
Garra         5    25.2     5.1      20.23809524     575
Garra         5    25.2    2.22       8.80952381       6
Humilis       6    25.1 3.31132      13.19250996     126
Humilis       6    25.1  4.4977      17.91912351     966
Humilis       6    25.1  3.1288      12.46533865     183
Humilis       6    25.1 3.95014      15.73760956     595
Humilis       6    25.1 3.49384      13.91968127     209
Humilis       6    25.1  4.4977      17.91912351    1197
Humilis       6    25.1 6.14038      24.46366534    5976
Humilis       6    25.1 3.67636      14.64685259     244
Humilis       6    25.1 2.48998      9.920239044      14
Humilis       6    25.1     3.2      12.74900398     125
Humilis       6    25.1     2.2      8.764940239       4
Humilis       6    25.1    1.67      6.653386454       5
Humilis       6    25.1    1.43      5.697211155       4
Humilis       6    25.1     1.8      7.171314741       7
Humilis       6    25.1    1.77      7.051792829       6
Humilis       7    25.4 3.85888      15.19244094     440
Humilis       7    25.4 3.67636      14.47385827     117
Humilis       7    25.4 2.94628      11.59952756      35
Humilis       7    25.4 3.40258      13.39598425     112
Humilis       7    25.4 4.13266      16.27031496    1014
Humilis       7    25.4 3.49384      13.75527559     100
Humilis       7    25.4 2.85502      11.24023622      45
Humilis       7    25.4  3.1288      12.31811024      43
Humilis       7    25.4 5.68408      22.37826772    4452
Humilis       7    25.4  3.5851      14.11456693     228
Humilis       7    25.4     2.4      9.448818898       5
Humilis       7    25.4    2.14       8.42519685       7
Humilis       7    25.4    1.98      7.795275591       7
Humilis       7    25.4    2.61      10.27559055      16
Humilis       8   26.09    1.87      7.167497125      16
Humilis       8   26.09     1.5      5.749329245       2
Humilis       8   26.09     1.9       7.28248371       5
Humilis       8   26.09    2.05      7.857416635       6
Humilis       8   26.09    1.06      4.062859333       3
Humilis       9    23.9 2.48998      10.41832636      10
Humilis       9    23.9 4.13266      17.29146444     972
Humilis       9    23.9 4.31518      18.05514644    1153
Humilis       9    23.9 3.31132       13.8548954     168
Humilis       9    23.9     3.2      13.38912134      57
Humilis       9    23.9       5      20.92050209    1254
Humilis       9    23.9     2.7      11.29707113       9
Humilis       9    23.9    2.31      9.665271967       6
Humilis       9    23.9    1.91      7.991631799       6
Humilis      10      24    2.36      9.833333333      12
Humilis      10      24    1.95            8.125       8
Humilis      10      24    1.55      6.458333333       5
Humilis      10      24    0.91      3.791666667       3
Humilis      11    25.2 3.31132      13.14015873      54
Humilis      11    25.2  3.5851       14.2265873     173
Humilis      11    25.2 3.76762      14.95087302     145
Humilis      11    25.2     3.2       12.6984127      20
Humilis      11    25.2     5.6      22.22222222    1701
Humilis      11    25.2     6.2       24.6031746    8434
Humilis      11    25.2    1.89              7.5       6
Humilis      11    25.2     2.4      9.523809524       7
Humilis      11    25.2    2.32      9.206349206       9
Humilis      11    25.2    2.02      8.015873016       8
Humilis      11    25.2    2.47      9.801587302      23
Humilis      11    25.2    1.43      5.674603175       5
Humilis      11    25.2    1.75      6.944444444       8
Humilis      11    25.2    2.03      8.055555556       8
Humilis      11    25.2    1.83      7.261904762       7
Humilis      11    25.2    1.62      6.428571429       5
Humilis      11    25.2     1.9       7.53968254       6
