      nr    hour     pot  growth night
       1       8       1     3.5 Low
       2       8       1       4 Low
       3       8       1       3 Low
       4       8       1     4.5 Low
       5       8       2     2.5 Low
       6       8       2     4.5 Low
       7       8       2     5.5 Low
       8       8       2       5 Low
       9       8       3       3 Low
      10       8       3       3 Low
      11       8       3     2.5 Low
      12       8       3       3 Low
      13      12       1       5 Low
      14      12       1     5.5 Low
      15      12       1       4 Low
      16      12       1     3.5 Low
      17      12       2     3.5 Low
      18      12       2     3.5 Low
      19      12       2       3 Low
      20      12       2       4 Low
      21      12       3     4.5 Low
      22      12       3       4 Low
      23      12       3       4 Low
      24      12       3       5 Low
      25      16       1       5 Low
      26      16       1     4.5 Low
      27      16       1       5 Low
      28      16       1     4.5 Low
      29      16       2     5.5 Low
      30      16       2       6 Low
      31      16       2       5 Low
      32      16       2       5 Low
      33      16       3     5.5 Low
      34      16       3     4.5 Low
      35      16       3     6.5 Low
      36      16       3     5.5 Low
      37       8       1     8.5 Hig
      38       8       1       6 Hig
      39       8       1       9 Hig
      40       8       1     8.5 Hig
      41       8       2     6.5 Hig
      42       8       2       7 Hig
      43       8       2       8 Hig
      44       8       2     6.5 Hig
      45       8       3       7 Hig
      46       8       3       7 Hig
      47       8       3       7 Hig
      48       8       3       7 Hig
      49      12       1       6 Hig
      50      12       1     5.5 Hig
      51      12       1     3.5 Hig
      52      12       1       7 Hig
      53      12       2       6 Hig
      54      12       2     8.5 Hig
      55      12       2     4.5 Hig
      56      12       2     7.5 Hig
      57      12       3     6.5 Hig
      58      12       3     6.5 Hig
      59      12       3     8.5 Hig
      60      12       3     7.5 Hig
      61      16       1       7 Hig
      62      16       1       9 Hig
      63      16       1     8.5 Hig
      64      16       1     8.5 Hig
      65      16       2       6 Hig
      66      16       2       7 Hig
      67      16       2       7 Hig
      68      16       2       7 Hig
      69      16       3      11 Hig
      70      16       3       7 Hig
      71      16       3       9 Hig
      72      16       3       8 Hig
