yield   hybrid  BLOCK
    25.3       3       1
    19.9       6       1
      29       9       1
    24.6      11       1
      23       3       2
    19.8       4       2
    33.3       8       2
    22.7      12       2
    16.2      10       3
    19.3      11       3
    31.7      12       3
    26.6      13       3
    27.3       2       4
      27       5       4
    35.6       8       4
    17.4      11       4
    23.4       7       5
    30.5       8       5
    30.8       9       5
    32.4      10       5
    30.6       4       6
    32.4       5       6
    27.2       6       6
    32.8      10       6
    34.7       1       7
    31.1       5       7
    25.7       9       7
    30.5      12       7
    34.4       3       8
    32.4       5       8
    33.3       7       8
    36.9      13       8
    38.2       1       9
    32.9       2       9
    37.3       3       9
    31.3      10       9
    28.7       2      10
    30.7       4      10
    26.9       9      10
    35.3      13      10
    36.6       1      11
    31.1       4      11
    31.1       7      11
    28.4      11      11
    31.8       1      12
    33.7       6      12
    27.8       8      12
    41.1      13      12
    30.3       2      13
    31.5       6      13
    39.3       7      13
    26.7      12      13
