block,soilfert,soiltype,initwgt,consump,wgtgain
1,0,loam1,220,1155,224
1,1,loam1,222,1326,237
2,0,loam1,246,1423,289
2,1,loam1,268,1559,265
3,0,loam1,262,1576,280
3,1,loam1,314,1528,256
1,0,sand,198,1092,118
1,1,sand,205,1154,82
2,0,sand,266,1703,191
2,1,sand,236,1250,117
3,0,sand,335,1546,115
3,1,sand,268,1667,117
1,0,loam2,213,1573,242
1,1,loam2,188,1381,184
2,0,loam2,236,1730,270
2,1,loam2,259,1363,129
3,0,loam2,288,1593,198
3,1,loam2,300,1564,212
1,0,peat,256,1532,241
1,1,peat,202,1375,239
2,0,peat,278,1220,185
2,1,peat,216,1170,207
3,0,peat,283,1232,185
3,1,peat,225,1273,227
